# t, hp, hx
1.508514811400000002e-02 -1.288511412799999908e-03 -5.066462530000000138e-07
1.510893816100000037e-02 -1.298939445899999906e-03 -6.938511868400000295e-07
1.513272486500000062e-02 -1.391746425100000035e-03 -8.488800159800000370e-07
1.515651420100000077e-02 -1.596942977099999935e-03 -9.559011998499999299e-07
1.518030472799999919e-02 -1.943830078899999939e-03 -1.064380708099999896e-06
1.520409513499999983e-02 -2.447255552499999921e-03 -1.157792227300000037e-06
1.522787539399999938e-02 -3.014704216500000214e-03 -1.188313869299999943e-06
1.525165495400000043e-02 -3.444559040300000131e-03 -1.177019444800000102e-06
1.527544395100000063e-02 -3.624232790600000198e-03 -1.124495320100000029e-06
1.529923455999999959e-02 -3.558438550400000022e-03 -1.016850172499999994e-06
1.532302565499999922e-02 -3.270994898399999951e-03 -8.753452690900000074e-07
1.534681935300000015e-02 -2.870581146099999807e-03 -6.314389522599999975e-07
1.537061941700000080e-02 -2.478742253100000084e-03 -4.336538420400000018e-07
1.539440803999999989e-02 -2.113726367000000068e-03 -3.447281513200000015e-07
1.541819953799999920e-02 -1.808802623400000004e-03 -2.153842532500000103e-07
1.544198543700000051e-02 -1.573066281299999921e-03 -1.612043252699999905e-07
1.546577568299999962e-02 -1.420718400999999983e-03 -1.689788999700000006e-07
1.548956944399999987e-02 -1.367588620499999999e-03 -2.011284688199999997e-07
1.551335679000000016e-02 -1.367441900299999971e-03 -3.101477946999999914e-07
1.553714601400000075e-02 -1.399260056199999993e-03 -4.585495940899999998e-07
1.556093767400000029e-02 -1.461249978100000050e-03 -6.009018798600000431e-07
1.558472885699999956e-02 -1.532638981499999994e-03 -7.172793011599999512e-07
1.560851583200000003e-02 -1.655962959899999953e-03 -8.013868611300000227e-07
1.563230597400000130e-02 -1.878281745499999931e-03 -8.410240074000000065e-07
1.565608875600000074e-02 -2.217941200999999814e-03 -8.171278661000000216e-07
1.567987473399999956e-02 -2.631361151500000075e-03 -7.605778675800000305e-07
1.570365864200000058e-02 -3.026661727900000192e-03 -6.833118909599999538e-07
1.572744696499999914e-02 -3.287099019599999932e-03 -6.126738985399999662e-07
1.575123374799999865e-02 -3.342321775099999902e-03 -5.563068279699999636e-07
1.577502236600000080e-02 -3.194727509199999944e-03 -5.093410042700000329e-07
1.579882125399999920e-02 -2.908634926399999900e-03 -5.276588683100000011e-07
1.582262291200000129e-02 -2.594150355599999895e-03 -5.283315063900000454e-07
1.584641799500000059e-02 -2.268583947600000001e-03 -4.890141645899999788e-07
1.587021030799999968e-02 -1.964418060700000041e-03 -4.732090015900000212e-07
1.589400038900000076e-02 -1.717372650600000085e-03 -4.371089752499999897e-07
1.591778952799999952e-02 -1.518784700899999951e-03 -3.573977364899999875e-07
1.594157642199999989e-02 -1.384968586700000091e-03 -2.330224566100000085e-07
